StudentId,Courseld,PaymentDate,PaymentNo,PaymentAmount
0,440,1/4/2019,1,5841
0,440,1/5/2019,2,5841
0,440,1/6/2019,3,5841
0,440,1/7/2019,4,5841
0,440,1/8/2019,5,5841
0,440,1/9/2019,6,5841
0,440,1/10/2019,7,5841
0,440,1/11/2019,8,5841
0,440,1/12/2019,9,5841
0,440,1/1/2020,10,5841
1,69,1/12/2014,1,3611
1,69,1/1/2015,2,3611
1,69,1/2/2015,3,3611
1,69,1/3/2015,4,3611
1,69,1/4/2015,5,3611
1,69,1/5/2015,6,3611
1,69,1/6/2015,7,3611
1,69,1/7/2015,8,3611
2,113,1/3/2018,1,74732
2,215,1/8/2018,1,5899
2,113,1/4/2018,2,74732
2,215,1/9/2018,2,5899
2,113,1/5/2018,3,74732
2,215,1/10/2018,3,5899
2,215,1/11/2018,4,5899
2,215,1/12/2018,5,5899
2,215,1/1/2019,6,5899
2,215,1/2/2019,7,5899
2,215,1/3/2019,8,5899
2,215,1/4/2019,9,5899
2,215,1/5/2019,10,5899
2,215,1/6/2019,11,5899
2,215,1/7/2019,12,5899
2,215,1/8/2019,13,5899
2,215,1/9/2019,14,5899
3,74,1/7/2014,1,1374
3,74,1/8/2014,2,1374
3,74,1/9/2014,3,1374
3,74,1/10/2014,4,1374
4,69,1/12/2014,1,8184
4,69,1/1/2015,2,8184
4,69,1/2/2015,3,8184
4,69,1/3/2015,4,8184
6,637,1/1/2020,1,13464
6,637,1/2/2020,2,13464
6,637,1/3/2020,3,13464
6,637,1/4/2020,4,13464
6,637,1/5/2020,5,13464
6,637,1/6/2020,6,13464
6,637,1/7/2020,7,13464
6,637,1/8/2020,8,13464
6,637,1/9/2020,9,13464
6,637,1/10/2020,10,13464
7,556,1/8/2019,1,10142
7,470,1/5/2019,1,8452
7,556,1/9/2019,2,10142
7,470,1/6/2019,2,8452
7,556,1/10/2019,3,10142
7,470,1/7/2019,3,8452
7,556,1/11/2019,4,10142
7,470,1/8/2019,4,8452
7,556,1/12/2019,5,10142
7,470,1/9/2019,5,8452
7,556,1/1/2020,6,10142
7,470,1/10/2019,6,8452
7,556,1/2/2020,7,10142
7,470,1/11/2019,7,8452
7,556,1/3/2020,8,10142
7,470,1/12/2019,8,8452
7,556,1/4/2020,9,10142
7,470,1/1/2020,9,8452
7,556,1/5/2020,10,10142
7,470,1/2/2020,10,8452
7,470,1/3/2020,11,8452
7,470,1/4/2020,12,8452
11,69,1/12/2014,1,2528
11,69,1/1/2015,2,2528
11,69,1/2/2015,3,2528
11,69,1/3/2015,4,2528
11,69,1/4/2015,5,2528
11,69,1/5/2015,6,2528
11,69,1/6/2015,7,2528
11,69,1/7/2015,8,2528
11,69,1/8/2015,9,2528
11,69,1/9/2015,10,2528
